p,lambda
1.3133986,0.7750259
2.6553195,0.37884936
4.1171303,0.24317068
9.6949215,0.10211717
1.7069396,0.58906704
8.587208,0.118040144
1.7141482,0.5756775
3.4458232,0.29294127
6.809456,0.14348039
6.203688,0.1574035
9.553868,0.10582123
4.172868,0.23860173
9.402454,0.104640774
9.274812,0.10857127
7.18416,0.1411677
0.2926749,3.4202938
7.994253,0.12876365
9.017476,0.109385215
5.286242,0.18672077
2.0519106,0.49632135
1.889853,0.518587
8.469412,0.119755425
0.9636868,1.0044448
5.5074434,0.17799
2.1138964,0.47143373
3.0826755,0.3217803
9.773829,0.105424844
2.8385887,0.34559834
6.8667502,0.1455389
7.697113,0.13032664
2.9534996,0.33787596
1.5509396,0.65935063
7.74439,0.12766923
4.5908318,0.21559508
2.9500082,0.3323468
2.195066,0.46353412
9.837853,0.1021793
6.4984384,0.15473396
5.2783327,0.19026944
1.2305355,0.7947819
9.133197,0.11058177
3.3945897,0.2964789
7.9283366,0.12972422
9.062834,0.11127971
2.1378727,0.46054918
9.781687,0.10162889
8.952559,0.11569126
5.7046494,0.17116472
7.2707105,0.13386391
2.8462017,0.35306898
7.2646723,0.14161055
4.3682237,0.22929917
3.322358,0.29409504
6.999031,0.14909405
3.8929656,0.25306252
7.0746975,0.14367977
8.530146,0.1206073
2.7811117,0.36033326
2.1443431,0.4720311
3.2716224,0.31466985
4.2951183,0.22697699
7.3113956,0.13893478
4.431093,0.23101164
6.9653263,0.14717472
9.954318,0.09965957
2.4137661,0.41811478
7.6084194,0.12997788
4.820195,0.20505926
4.239851,0.2315688
6.056426,0.16720422
1.2697778,0.79081154
3.2221234,0.3173995
2.812118,0.33897316
6.1432614,0.15996015
2.3274097,0.43257433
0.56916916,1.8177403
0.5024087,1.9629754
7.7679515,0.1242842
6.869826,0.14395086
8.510666,0.11738187
6.804139,0.14942282
0.617284,1.657222
7.0412025,0.14412373
5.5152416,0.18111084
9.621749,0.108309336
2.3748944,0.4156572
0.87031627,1.1499323
8.345615,0.12132566
4.284614,0.23123276
4.752686,0.20964509
7.197878,0.14082012
1.9108149,0.5144999
4.565151,0.21845704
8.043024,0.12407573
5.9814334,0.17484777
9.041392,0.1125216
8.667269,0.11395642
2.8076124,0.36193347
7.9780216,0.12290787
6.397826,0.15783225
1.2987846,0.7461545
2.7098722,0.37487862
7.562379,0.13201904
8.474887,0.115098834
1.6357176,0.6173862
7.070524,0.14401846
3.3263369,0.30343488
1.9167844,0.5243995
1.0758327,0.9071507
1.0774242,0.9444671
4.68332,0.20480031
1.2495135,0.79272616
6.0994177,0.17058699
8.26832,0.11785901
4.282861,0.22571957
6.234748,0.15772814
8.379572,0.12040162
8.258381,0.12107113
3.2039855,0.31865892
5.7007675,0.17582996
4.803129,0.20420688
1.2866061,0.7923947
2.077718,0.47662687
0.93497986,1.0849559
2.3002553,0.4471439
9.583069,0.10552863
9.078601,0.11310488
8.251318,0.11849415
8.480212,0.11711816
9.202668,0.10922104
1.962773,0.4985561
5.8472395,0.1757349
3.8277137,0.26798278
2.006082,0.5039256
1.4544941,0.69678026
8.6978855,0.11488493
6.4194813,0.15281874
7.1111593,0.13918428
8.92119,0.1117406
1.9672712,0.51154166
9.930539,0.10062272
4.9638386,0.2029351
3.5057797,0.2784191
9.380302,0.10524027
2.680047,0.3750736
8.607599,0.11858249
1.704806,0.56905836
6.044904,0.16682822
6.241714,0.16281128
3.3917308,0.2950442
6.14927,0.1631991
9.407306,0.10567813
3.7967026,0.2637093
1.2805891,0.7767499
4.6323047,0.2099655
1.1136365,0.9234671
6.6162457,0.1523879
7.4217954,0.13363545
0.45051682,2.2814984
8.325308,0.11971596
6.8871245,0.14730926
4.5148087,0.2147451
0.15729989,6.296344
1.8689485,0.5474246
4.607074,0.22372723
8.144471,0.12753643
0.5516885,1.867017
7.000551,0.14817235
0.27059686,3.6540504
5.365421,0.18167365
2.9152985,0.32764423
7.816466,0.12847883
1.629985,0.61196375
8.515327,0.1212214
7.6008577,0.1312715
9.760349,0.105964534
5.51323,0.17619278
2.2828112,0.45429134
7.453695,0.13428797
5.404616,0.19046344
0.31502205,3.243845
1.8907372,0.5211523
2.4729552,0.41258645
6.9438634,0.1426571
8.942433,0.11408451
1.7526969,0.5786698
4.5676064,0.22134273
6.3483267,0.15743779
8.416035,0.11856437
8.775549,0.11439959
4.737227,0.20160984
1.8087198,0.56510186
2.0355406,0.4918365
6.447558,0.15618439
5.0856366,0.19353916
0.7067811,1.4271784
9.52937,0.10425355
6.6346297,0.15586358
8.139141,0.119752765
3.8035977,0.2701079
4.866521,0.20275415
3.5222075,0.28670132
2.001102,0.49847665
9.175918,0.10715785
8.703342,0.11048411
5.668972,0.17943875
3.480569,0.27818003
2.9888632,0.3322869
1.3966117,0.73639333
7.0569663,0.14581892
0.54238397,1.8586699
6.091175,0.15925199
7.5423903,0.1325432
0.15440373,6.5004086
6.291156,0.15675995
6.328645,0.16258153
0.9640376,1.0444608
7.2722783,0.13867234
2.1727817,0.46026352
4.507687,0.21629043
2.739611,0.3590148
1.1648986,0.84351194
7.895288,0.12999271
6.7675643,0.1481903
7.969782,0.12687068
4.5589466,0.22161923
2.8338351,0.35646436
6.9265227,0.1494905
3.643803,0.27966943
6.900684,0.14609046
1.4386572,0.6986745
3.5609558,0.28959814
8.445476,0.11440714
2.6921637,0.3821846
2.1194913,0.4679287
3.9274473,0.2576576
4.021379,0.24787039
1.3659678,0.7341678
4.673879,0.21336727
2.6066682,0.35666227
9.912844,0.0987871
4.4701586,0.2204173
2.6503167,0.36785573
0.6029147,1.5987478
8.111969,0.12470187
4.515041,0.21718085
2.4130127,0.4157001
2.3794842,0.4306981
7.2196846,0.13564092
5.6983824,0.17500724
4.3393517,0.23587506
1.3524224,0.7354015
1.0476985,0.94800675
3.7286582,0.25696057
1.1134722,0.9227772
0.17140077,5.8081036
7.952331,0.12241683
1.7733163,0.57360226
7.845845,0.12640524
3.2290125,0.30928603
4.7857327,0.2062351
7.9956064,0.12691402
6.0714674,0.16691746
4.6841474,0.21150573
2.8886821,0.34632728
0.6701424,1.5384372
7.4089136,0.13539205
8.2166815,0.12059524
2.8012655,0.3670073
2.9308527,0.33678135
8.263389,0.12119562
0.23779301,4.1036835
0.49437907,1.98728
8.440383,0.117161214
3.8637838,0.26167262
3.8005836,0.26857623
3.4291458,0.28903338
2.8831742,0.3520434
6.866282,0.14537042
1.2877966,0.7874253
8.7397585,0.112622775
9.937038,0.10118609
8.056939,0.123744816
2.250286,0.44561577
7.571972,0.13866997
8.457153,0.11895304
1.2317615,0.8348464
6.1595154,0.16588788
1.4553968,0.6663655
