n,E
8.0,-0.015782941
10.0,-0.010134768
7.0,-0.020350646
1.0,-1.0014703
9.0,-0.012371402
1.0,-0.9658736
5.0,-0.039566036
13.0,-0.005865919
7.0,-0.019960286
9.0,-0.011885856
15.0,-0.0043201563
4.0,-0.063818805
13.0,-0.0058546592
12.0,-0.006836967
6.0,-0.027242392
4.0,-0.06267638
5.0,-0.039942406
7.0,-0.020769855
10.0,-0.010073709
7.0,-0.020884247
3.0,-0.10827999
15.0,-0.0044906195
6.0,-0.028295936
14.0,-0.005071904
3.0,-0.11087382
5.0,-0.040549006
12.0,-0.006892133
5.0,-0.04050095
14.0,-0.005050003
7.0,-0.020419186
7.0,-0.020319428
1.0,-1.0076212
7.0,-0.020681407
5.0,-0.039795946
9.0,-0.0127336215
15.0,-0.0043213563
1.0,-1.0091138
13.0,-0.005671399
6.0,-0.027404558
9.0,-0.012368636
8.0,-0.015813405
8.0,-0.015462747
13.0,-0.0058623934
15.0,-0.0044061216
15.0,-0.0043698126
9.0,-0.012315862
11.0,-0.0080752
15.0,-0.004512636
14.0,-0.0051228
15.0,-0.0043893764
1.0,-1.0156007
1.0,-0.99913204
9.0,-0.011966669
2.0,-0.24947147
13.0,-0.0059727244
12.0,-0.0067875865
2.0,-0.25567988
2.0,-0.2516579
2.0,-0.24467073
6.0,-0.028205588
13.0,-0.0058866525
5.0,-0.040055875
11.0,-0.008005395
9.0,-0.012696762
10.0,-0.010108292
1.0,-1.0064989
11.0,-0.008202682
7.0,-0.020182882
3.0,-0.11017015
9.0,-0.011995275
10.0,-0.009865605
2.0,-0.2564045
8.0,-0.016076587
6.0,-0.028076379
12.0,-0.0070174476
8.0,-0.01576149
1.0,-0.97902596
5.0,-0.04050497
9.0,-0.012071827
7.0,-0.019939307
5.0,-0.03997506
7.0,-0.020620903
5.0,-0.038969543
2.0,-0.25422853
11.0,-0.008185301
9.0,-0.012278381
8.0,-0.015219532
2.0,-0.24820572
11.0,-0.008260966
9.0,-0.0120851435
13.0,-0.005962141
2.0,-0.24718799
5.0,-0.03989381
9.0,-0.012337071
2.0,-0.25741217
13.0,-0.0059176534
4.0,-0.06376355
5.0,-0.039575998
6.0,-0.02646125
2.0,-0.25113037
3.0,-0.10907464
5.0,-0.039193038
4.0,-0.063939966
7.0,-0.020119134
10.0,-0.010063038
10.0,-0.010087967
14.0,-0.005018321
3.0,-0.112346485
10.0,-0.010101712
1.0,-0.9848399
1.0,-0.97420335
13.0,-0.0059092864
6.0,-0.027407072
7.0,-0.020987133
14.0,-0.0051124
9.0,-0.012235328
11.0,-0.00840381
13.0,-0.0058408827
10.0,-0.009943574
12.0,-0.0069047385
2.0,-0.24407491
13.0,-0.0057673957
7.0,-0.020904223
5.0,-0.0405242
3.0,-0.10991479
3.0,-0.111780174
3.0,-0.10668858
1.0,-0.9778828
5.0,-0.040656526
6.0,-0.02819779
15.0,-0.0045569283
10.0,-0.009925718
12.0,-0.0070285103
9.0,-0.012512558
13.0,-0.0060669044
14.0,-0.0050112535
14.0,-0.0051782606
13.0,-0.006024359
11.0,-0.008576277
8.0,-0.015498514
3.0,-0.11059903
2.0,-0.24634382
15.0,-0.004316844
8.0,-0.01556027
13.0,-0.0059579113
14.0,-0.005265692
2.0,-0.24946173
14.0,-0.005066068
5.0,-0.03979438
11.0,-0.008586336
7.0,-0.019903895
10.0,-0.009875767
8.0,-0.015746841
13.0,-0.005950787
15.0,-0.004615133
11.0,-0.008211054
7.0,-0.020548364
10.0,-0.010226082
3.0,-0.10672393
7.0,-0.019777602
12.0,-0.0068439064
6.0,-0.027789503
15.0,-0.00455478
8.0,-0.015631
14.0,-0.0050540953
14.0,-0.0051130936
4.0,-0.06254408
10.0,-0.00996266
15.0,-0.004546101
13.0,-0.0058200415
8.0,-0.015310283
8.0,-0.015759433
12.0,-0.0070408825
9.0,-0.011822017
9.0,-0.012063888
11.0,-0.008647925
15.0,-0.0044535226
11.0,-0.008433055
8.0,-0.015909927
4.0,-0.06336232
5.0,-0.039965667
14.0,-0.0051155
13.0,-0.0060703913
4.0,-0.06385784
6.0,-0.028922323
10.0,-0.010018073
10.0,-0.00994632
6.0,-0.027299369
11.0,-0.008102291
5.0,-0.039921217
14.0,-0.005143251
15.0,-0.0042542014
5.0,-0.04074128
11.0,-0.008488727
9.0,-0.012459672
5.0,-0.03984435
10.0,-0.009729989
11.0,-0.008342641
8.0,-0.016131446
12.0,-0.0068426086
15.0,-0.0044845985
6.0,-0.028371679
6.0,-0.02828486
14.0,-0.005088678
12.0,-0.0071899504
15.0,-0.004313381
12.0,-0.0069679995
4.0,-0.062444925
9.0,-0.012087303
11.0,-0.008388539
6.0,-0.027745234
4.0,-0.062610894
11.0,-0.008185621
4.0,-0.05944706
15.0,-0.0045423787
12.0,-0.0069544953
13.0,-0.005667138
15.0,-0.004524746
14.0,-0.0049375603
8.0,-0.015600857
6.0,-0.027206546
5.0,-0.039552234
11.0,-0.008212064
5.0,-0.04071395
11.0,-0.008289122
7.0,-0.020129079
4.0,-0.06298294
10.0,-0.010217333
3.0,-0.113294095
14.0,-0.0049578166
5.0,-0.038723532
12.0,-0.0070443638
9.0,-0.012351159
14.0,-0.004975383
12.0,-0.006903856
12.0,-0.006935277
9.0,-0.012193306
7.0,-0.020860724
2.0,-0.2534246
15.0,-0.0043764417
9.0,-0.012295978
10.0,-0.009907544
14.0,-0.0050927065
7.0,-0.02093501
1.0,-0.991523
11.0,-0.008049789
3.0,-0.10996312
12.0,-0.0068426044
11.0,-0.008419491
9.0,-0.012407244
7.0,-0.020593397
8.0,-0.015782824
3.0,-0.11248655
14.0,-0.0050415145
5.0,-0.039557174
8.0,-0.015360589
2.0,-0.2409828
9.0,-0.012302279
14.0,-0.005054156
15.0,-0.004428289
9.0,-0.012743773
15.0,-0.00453849
1.0,-0.99058586
10.0,-0.010087428
12.0,-0.0069512664
7.0,-0.020988803
8.0,-0.015534542
3.0,-0.11176639
8.0,-0.015566122
2.0,-0.24903062
13.0,-0.006109286
5.0,-0.03911704
5.0,-0.041011635
1.0,-1.0059515
1.0,-1.0092154
13.0,-0.005794777
6.0,-0.027716653
4.0,-0.061294843
15.0,-0.004426121
3.0,-0.1111592
2.0,-0.25401965
8.0,-0.015771447
1.0,-0.9992035
10.0,-0.0099480245
3.0,-0.11253377
1.0,-0.9717852
14.0,-0.0050709676
2.0,-0.25553152
8.0,-0.015159295
15.0,-0.0045939554
15.0,-0.004409078
10.0,-0.010108226
13.0,-0.005730578
14.0,-0.0050164773
11.0,-0.008456599
4.0,-0.061238974
5.0,-0.04161189
13.0,-0.0058179456
15.0,-0.004448192
3.0,-0.11312653
14.0,-0.005001524
10.0,-0.009844139
5.0,-0.039842237
13.0,-0.005882794
1.0,-0.9918465
3.0,-0.11188864
11.0,-0.008171135
2.0,-0.25928923
12.0,-0.0074136537
10.0,-0.009906472
9.0,-0.01224884
8.0,-0.015832683
6.0,-0.028376242
9.0,-0.012019086
15.0,-0.004489922
11.0,-0.008364045
12.0,-0.007078755
13.0,-0.0058225496
12.0,-0.007251431
10.0,-0.010037683
13.0,-0.0060017435
13.0,-0.0059341714
6.0,-0.027406318
15.0,-0.004487695
3.0,-0.11172434
15.0,-0.0046106093
1.0,-1.0109624
6.0,-0.028364634
11.0,-0.008226295
4.0,-0.06279488
4.0,-0.06305137
13.0,-0.0058986824
14.0,-0.0051939096
5.0,-0.04090857
5.0,-0.0420735
13.0,-0.0059262686
11.0,-0.008265865
4.0,-0.062579334
3.0,-0.11242338
3.0,-0.108809926
2.0,-0.25378498
7.0,-0.019683767
14.0,-0.00513249
6.0,-0.028241381
4.0,-0.06300995
2.0,-0.250444
12.0,-0.006893858
15.0,-0.0042791828
3.0,-0.110840075
5.0,-0.03944338
5.0,-0.039278217
2.0,-0.247888
4.0,-0.06012165
4.0,-0.062937915
7.0,-0.020669617
2.0,-0.25616956
13.0,-0.005951358
9.0,-0.01286883
11.0,-0.008164421
12.0,-0.0070436853
1.0,-0.9874065
11.0,-0.008208178
3.0,-0.113815166
6.0,-0.026620567
15.0,-0.004514204
12.0,-0.007064489
15.0,-0.004482507
7.0,-0.020220816
10.0,-0.010218338
1.0,-0.98422533
6.0,-0.027709763
7.0,-0.020489268
14.0,-0.005210454
2.0,-0.24956763
4.0,-0.062856615
3.0,-0.11565478
7.0,-0.02028846
3.0,-0.11323328
9.0,-0.012428811
5.0,-0.04072004
8.0,-0.015741793
5.0,-0.040386096
14.0,-0.005143276
9.0,-0.012464088
6.0,-0.028168788
15.0,-0.004357213
6.0,-0.027547037
9.0,-0.012221569
12.0,-0.006766801
13.0,-0.0059850984
13.0,-0.0058699655
15.0,-0.004495792
3.0,-0.11308066
8.0,-0.015227589
12.0,-0.007069173
2.0,-0.23781648
11.0,-0.007877782
1.0,-1.0439806
12.0,-0.00682212
13.0,-0.006021237
12.0,-0.006870298
10.0,-0.009968802
6.0,-0.02920628
8.0,-0.015600545
11.0,-0.008051259
11.0,-0.008227777
2.0,-0.24067996
1.0,-1.0149001
14.0,-0.0049099578
13.0,-0.005921106
6.0,-0.028516974
11.0,-0.008175901
5.0,-0.038639434
9.0,-0.012301881
7.0,-0.020318482
11.0,-0.008247326
10.0,-0.0104380585
9.0,-0.011844178
12.0,-0.0066800853
7.0,-0.01979651
2.0,-0.24784443
8.0,-0.015593149
3.0,-0.111811675
1.0,-0.9683053
3.0,-0.10927385
10.0,-0.010231489
11.0,-0.008340932
15.0,-0.0044128196
5.0,-0.04043857
7.0,-0.02012022
4.0,-0.059974108
2.0,-0.23996486
2.0,-0.24648148
10.0,-0.0101773385
10.0,-0.009802464
7.0,-0.020905238
4.0,-0.06310317
3.0,-0.1126171
13.0,-0.005943373
8.0,-0.01552072
11.0,-0.008084342
3.0,-0.11039118
14.0,-0.0052688895
13.0,-0.00584199
1.0,-0.983678
8.0,-0.01535858
6.0,-0.02814629
12.0,-0.006966499
14.0,-0.005146205
2.0,-0.24557775
1.0,-1.0372151
2.0,-0.25232232
4.0,-0.060798947
13.0,-0.0059725116
6.0,-0.027017977
7.0,-0.02007104
5.0,-0.04151418
12.0,-0.007065132
14.0,-0.004904398
2.0,-0.2585843
5.0,-0.040487748
4.0,-0.062368825
5.0,-0.039789803
14.0,-0.0049338182
6.0,-0.02832496
2.0,-0.24936423
7.0,-0.02009613
9.0,-0.0124238115
4.0,-0.06363692
5.0,-0.040374387
6.0,-0.02845718
5.0,-0.04001518
6.0,-0.027175788
1.0,-1.0104877
14.0,-0.005034088
11.0,-0.008600583
15.0,-0.004611503
1.0,-0.9751528
1.0,-1.0037227
6.0,-0.027544813
8.0,-0.016094947
9.0,-0.012585329
9.0,-0.012057339
15.0,-0.004449735
15.0,-0.0043886947
13.0,-0.005915917
8.0,-0.015262494
8.0,-0.015803792
13.0,-0.0061922693
13.0,-0.0060329316
14.0,-0.0050473236
6.0,-0.027639909
14.0,-0.0051309946
1.0,-0.9766312
12.0,-0.007031106
4.0,-0.06398451
1.0,-0.98279566
1.0,-1.0142775
2.0,-0.2489022
5.0,-0.04118077
