n,omega,E
0.0,2.1298275,1.0628653
8.0,2.6687267,23.195942
7.0,1.6347423,11.7013035
4.0,1.1195989,4.8873878
4.0,1.0916559,4.821779
9.0,2.3650358,23.124432
0.0,2.541422,1.2778927
7.0,0.7631952,5.811806
2.0,0.66639715,1.6280029
1.0,1.9860841,2.9124215
5.0,0.8654331,4.8025126
10.0,2.5616605,26.928785
8.0,1.2758367,10.96363
8.0,0.8596798,7.2798514
7.0,2.802426,21.135118
8.0,0.9138293,7.7921133
5.0,1.2118002,6.768576
1.0,0.8840335,1.347453
9.0,0.78872514,7.2501383
4.0,0.55287004,2.3760948
5.0,0.63848853,3.5820432
4.0,0.93660367,4.314835
2.0,0.63345486,1.5513111
10.0,1.9778595,19.99504
8.0,2.2017863,18.752253
7.0,1.4840761,11.337787
4.0,1.2949778,6.0369062
9.0,1.7613156,16.905277
5.0,2.6875124,14.67143
4.0,2.627829,11.614001
4.0,0.60868764,2.7397215
2.0,0.953746,2.370094
1.0,1.0918622,1.6045439
6.0,1.123469,7.6017714
9.0,1.9280816,18.970747
0.0,1.5406561,0.78783065
9.0,0.6231353,5.810761
9.0,1.4340353,13.856299
3.0,1.8093823,6.4138513
6.0,0.7541798,4.9455576
1.0,2.5836463,3.9723303
8.0,0.6299047,5.422228
7.0,2.8121047,21.402935
3.0,0.7477828,2.6505787
0.0,2.6089373,1.3133596
10.0,2.7566328,27.912125
4.0,2.9489267,13.292363
9.0,2.5050647,23.533388
7.0,2.4486938,17.895113
8.0,2.106208,18.504953
8.0,2.447491,21.523062
2.0,0.83638054,2.1477928
4.0,1.8401701,8.323032
5.0,1.7855572,10.085842
5.0,2.6439304,14.545123
0.0,1.6569984,0.8318595
6.0,1.4627237,9.299776
1.0,2.0989082,3.1733596
8.0,1.1661583,9.924317
7.0,0.849421,6.204683
10.0,1.6946932,17.776058
8.0,1.5422235,13.087996
4.0,1.0814248,5.041365
10.0,1.4187795,15.1636095
4.0,1.4159812,6.373374
3.0,1.3187389,4.638552
9.0,1.4486603,13.774442
4.0,2.2143583,9.924173
0.0,1.2421912,0.6076498
5.0,2.8721447,15.749073
8.0,2.79087,23.36841
2.0,1.7022761,4.149271
5.0,1.3209031,7.339247
1.0,1.8385869,2.7794616
7.0,2.6214013,18.957958
5.0,2.1314683,11.694311
3.0,2.5109797,8.963442
2.0,1.8318057,4.676529
6.0,2.082294,13.812603
7.0,1.220389,9.160041
10.0,2.3372328,24.12618
4.0,1.0060115,4.4289327
1.0,2.2369952,3.3786192
9.0,2.6517978,25.383177
6.0,0.8302571,5.5356174
7.0,2.0359495,15.605546
1.0,0.7377394,1.1036826
3.0,2.314289,7.8984504
8.0,0.711233,6.0068974
9.0,2.8398495,27.095781
4.0,0.8435198,3.7804976
8.0,2.8972006,24.34158
9.0,2.5022104,23.891224
4.0,1.984205,8.838926
9.0,2.4565604,23.044176
3.0,2.487787,8.761493
2.0,2.8650677,7.1050825
7.0,1.1334584,8.542439
7.0,1.9751897,14.894867
1.0,0.737623,1.0812204
9.0,2.0404143,19.197369
2.0,0.92822826,2.3873
8.0,1.9123765,15.877404
0.0,1.9310763,0.9246639
8.0,1.6649629,13.625201
8.0,1.8065795,15.364865
8.0,2.4098084,20.496038
7.0,2.4981117,18.691767
5.0,1.730383,9.748219
7.0,1.9989836,14.190934
3.0,2.8280907,9.976699
8.0,0.799334,7.0065174
6.0,0.79275894,5.0367055
5.0,0.71927255,3.9259489
5.0,2.1446583,11.618005
6.0,1.5465207,9.872579
0.0,2.4358037,1.2099547
1.0,2.1780787,3.3603933
2.0,1.3340944,3.4577985
1.0,2.7459164,4.091201
4.0,2.4063303,11.241065
7.0,1.1763374,8.828807
7.0,1.41048,10.949632
5.0,1.2860999,7.0603504
9.0,0.89402914,8.515539
6.0,0.86945844,5.692789
0.0,2.8403187,1.5104489
8.0,1.5947601,13.786252
6.0,1.4582995,9.344864
6.0,2.3242142,15.400173
6.0,1.8824826,12.147589
6.0,2.84035,18.281437
0.0,2.4507537,1.2476444
6.0,1.6984239,11.046618
8.0,1.4408987,12.315877
3.0,2.966579,10.38593
6.0,2.2944007,15.013998
0.0,2.8779867,1.4512239
3.0,0.79619646,2.678733
4.0,2.6263342,11.976062
10.0,2.0926847,21.541628
2.0,0.8048042,1.9539721
3.0,1.970645,6.8891997
4.0,2.215241,9.985328
10.0,0.5307567,5.4956484
9.0,1.6357949,15.798337
0.0,2.5634987,1.2473427
2.0,1.2383976,3.070796
9.0,1.6463702,15.4575615
0.0,1.6057854,0.8021446
9.0,1.2548184,11.987261
3.0,2.7961047,9.589094
10.0,2.4532351,26.132103
3.0,0.776471,2.721073
4.0,2.9925866,12.957076
7.0,2.698,19.442358
1.0,1.209771,1.8142093
6.0,2.5922415,16.775105
5.0,0.76604885,4.204554
8.0,2.9977617,25.466713
10.0,2.1642118,22.826738
7.0,2.1253126,16.241951
